orden,cantidad,tipo
10234,3,ECM
10235,120,CORP
10236,8,ECM
30991070,10,CORP
30991282,9,ECM
30991715,1,ECM
30992103,200,ECM
30992286,1,ECM
30993410,8,CORP
30993653,1,CORP
30993692,21,ECM
30993976,1,ECM
1514325806,810,CORP
1514325869,912,CORP
1514325875,318,CORP
1514658790,12480,CORP
1514823259,36,CORP
1514833336,72,CORP
1514902098,100,CORP
1514905879,1,CORP
1514915982,175,CORP
1514926742,8,CORP
1514927427,85,CORP
1514930561,54,CORP
1514930608,54,CORP
1514971763,30,CORP
1514974417,96,CORP
1514987544,72,CORP
1515017839,2,CORP
1515017897,10,CORP
1515026568,24,CORP
1515059580,1,CORP
1515059918,48,CORP
1515064829,12,CORP
1515064899,30,CORP
1515075557,90,CORP
1515075892,72,CORP
1515081974,24,CORP
1515086059,48,CORP
1515086149,28,CORP
1515086722,24,CORP
1515094525,51,ECM
1515095801,6,CORP
1515095951,12,CORP
1515096042,12,CORP
1515096091,48,CORP
1515096167,20,CORP
1515096308,24,CORP
1515096598,20,CORP
1515104521,25,CORP
1515106472,12,CORP
1515106478,36,CORP
1515106701,56,CORP
1515106819,12,CORP
1515108751,57,CORP
1515109213,48,CORP
1515109285,48,CORP
1515109364,48,CORP
1515109379,12,CORP
1515109385,6,CORP
1515109425,6,CORP
1515109568,24,CORP
1515109625,48,CORP
1515109632,12,CORP
1515109699,24,CORP
1515132586,1,ECM
1515136581,40,ECM
1515137618,48,CORP
1515137619,37,CORP
1515137649,96,CORP
1515137653,6,CORP
1515137658,50,CORP
1515137668,54,CORP
1515138609,24,CORP
1515138612,12,CORP
1515138616,6,CORP
1515138618,6,CORP
1515138621,6,CORP
1515138661,6,CORP
1515138665,24,CORP
1515138803,15,CORP
1515138982,1,CORP
1515139065,40,CORP
1515139179,25,CORP
1515139282,48,CORP
1515139307,30,CORP
1515139363,36,CORP
1515139393,78,CORP
1515140059,12,CORP
1515140066,30,CORP
1515140147,85,CORP
1515140186,50,CORP
1515140283,50,CORP
1515140287,6,CORP
1515140288,15,CORP
1515140300,20,CORP
1515140301,7,CORP
1515140303,24,CORP
1515140304,50,CORP
1515140356,120,CORP
1515140422,50,CORP
1515140426,6,CORP
1515140489,6,CORP
1515140491,50,CORP
1515140553,20,CORP
1515140556,48,CORP
1515140558,40,CORP
1515140559,24,CORP
1515140575,75,CORP
1515140630,36,CORP
1515140648,53,CORP
1515140652,10,CORP
1515141843,12,CORP
1515141847,48,CORP
1515141852,25,CORP
1515142080,24,CORP
1515142128,25,CORP
1515142141,45,CORP
1515142200,40,CORP
1515142205,100,CORP
1515142252,60,CORP
1515142257,54,CORP
1515142270,48,CORP
1515142333,12,CORP
1515142395,100,CORP
1515142401,30,CORP
1515142420,10,CORP
1515142421,24,CORP
1515142470,8,CORP
1515142475,48,CORP
1515142523,10,CORP
1515142526,20,CORP
1515142532,50,CORP
1515142537,100,CORP
1515142548,8,CORP
1515142558,16,CORP
1515142603,25,CORP
1515142608,6,CORP
1515142625,54,CORP
1515142652,50,CORP
1515142736,1,CORP
1515143906,18,CORP
1515148314,122,CORP
1515150960,48,CORP
1515153250,12,CORP
1515154292,100,CORP
1515154868,100,CORP
1515155628,100,CORP
1515155805,100,CORP
1515156080,100,CORP
1515156220,37,CORP
1515156359,100,CORP
1515156422,24,CORP
1515156431,51,CORP
1515156442,28,CORP
1515156448,40,CORP
1515156671,16,CORP
1515156677,50,CORP
1515156804,48,CORP
1515156912,45,CORP
1515156919,12,CORP
1515156920,30,CORP
1515157022,6,CORP
1515157025,36,CORP
1515157134,30,CORP
1515157143,6,CORP
1515157216,48,CORP
1515157231,7,CORP
1515157241,6,CORP
1515157336,6,CORP
1515157342,42,CORP
1515157426,8,CORP
1515157430,20,CORP
1515157434,20,CORP
1515157435,100,CORP
1515157448,72,CORP
1515157510,75,CORP
1515157526,18,CORP
1515157529,60,CORP
1515157534,30,CORP
1515157539,25,CORP
1515157623,60,CORP
1515157633,100,CORP
1515157644,48,CORP
1515157660,50,CORP
1515157721,50,CORP
1515157725,12,CORP
1515157733,25,CORP
1515157739,8,CORP
1515157755,10,CORP
1515157757,12,CORP
1515157842,50,CORP
1515158051,50,CORP
1515158054,50,CORP
1515158067,2,CORP
1515158078,75,CORP
1515158254,42,CORP
1515158511,20,CORP
1515158750,12,CORP
1515159328,100,CORP
1515159438,20,CORP
1515159576,25,CORP
1515159636,52,CORP
1515159642,12,CORP
1515159651,6,CORP
1515159724,20,CORP
1515159731,75,CORP
1515159740,40,CORP
1515159741,30,CORP
1515159807,75,CORP
1515159909,20,CORP
1515159991,6,CORP
1515159992,30,CORP
1515160055,50,CORP
1515160056,65,CORP
1515160059,100,CORP
1515160120,60,CORP
1515160125,72,CORP
1515160183,30,CORP
1515160766,6,CORP
1515166497,48,CORP
1515166504,48,CORP
1515166549,48,CORP
1515167469,72,CORP
1515171436,24,CORP
1515173791,56,CORP
1515179310,54,CORP
1515179988,3,CORP
1515184271,110,CORP
1515185162,72,CORP
1515185237,48,CORP
1515186195,108,CORP
1515187291,1,ECM
1515187724,6,CORP
1515194583,6,CORP
1515195114,12,CORP
1515196453,130,CORP
1515196461,217,CORP
1515197784,200,CORP
1515198244,50,CORP
1515198370,18,CORP
1515202307,12,CORP
1515202308,4,CORP
1515202309,6,CORP
1515203007,55,ECM
1515230828,24,CORP
1515230913,2,CORP
1515232480,20,CORP
1515233596,66,CORP
1515233733,242,CORP
1515234257,18,CORP
1515234285,18,CORP
